username,c1,c2,c3_pct,c1_weighted,c2_weighted,c3_weighted,final_score_out_of_10
Tanya-garg10,10,10,100,3.0,3.0,4.0,10.0
bidhu-patra-dev,10,6,100,3.0,1.7999999999999998,4.0,8.8
UmaMaddipati,5,9,98,1.5,2.7,3.92,8.12
Ishapatel24,10,8,63,3.0,2.4000000000000004,2.52,7.92
chandini12g,10,9,37,3.0,2.7,1.48,7.18
arpitsharma2028,8,7,59,2.4000000000000004,2.0999999999999996,2.36,6.86
Ananya2306,10,0,83,3.0,0.0,3.32,6.32
coderkartik7,10,9,0,3.0,2.7,0.0,5.7
tanmaypathak12,8,0,80,2.4000000000000004,0.0,3.2,5.6
Shiv123-Coder,9,0,66,2.7,0.0,2.64,5.34
Maheshvar007,10,0,51,3.0,0.0,2.04,5.04
07Saroj,10,0,47,3.0,0.0,1.88,4.88
KAVURI-MANIKANTA,10,0,45,3.0,0.0,1.8,4.8
saipranathi19,10,6,0,3.0,1.7999999999999998,0.0,4.8
Meghana-100705,7,0,50,2.0999999999999996,0.0,2.0,4.1
ritesh2687,6,7,0,1.7999999999999998,2.0999999999999996,0.0,3.9
raghukn21,0,0,95,0.0,0.0,3.8,3.8
9sindhu,6,0,40,1.7999999999999998,0.0,1.6,3.4
kaushal-lakhani,10,0,0,3.0,0.0,0.0,3.0
jahera-shaik,9,0,0,2.7,0.0,0.0,2.7
Vharshit03,8,0,0,2.4000000000000004,0.0,0.0,2.4
prasiddhi-105,8,0,0,2.4000000000000004,0.0,0.0,2.4
HarshadaDhole02,8,0,0,2.4000000000000004,0.0,0.0,2.4
sudhanvsk,0,0,56,0.0,0.0,2.24,2.24
shivampilania07,0,0,48,0.0,0.0,1.92,1.92
Sana0601,0,6,0,0.0,1.7999999999999998,0.0,1.8
minaakshil-aanand5,0,0,45,0.0,0.0,1.8,1.8
achal-debug,0,0,33,0.0,0.0,1.32,1.32
gms786,4,0,0,1.2000000000000002,0.0,0.0,1.2
codeanalytics03,0,0,28,0.0,0.0,1.12,1.12
Sathvik2005,2,0,0,0.6000000000000001,0.0,0.0,0.6
Blank,1,0,0,0.30000000000000004,0.0,0.0,0.3
